	 Destination Port	 Flow Duration	 Total Fwd Packets	 Total Backward Packets
0	80	38308	1	1
1	389	479	11	5
2	88	1095	10	6
3	389	15206	17	12
4	88	1092	9	6
5	389	433	11	4
6	88	1088	9	6
7	80	579225	132	150
8	49666	3	2	0
9	49413	4	3	0
10	88	1080	9	6
11	389	5008522	39	26
12	3268	4955405	33	24
13	443	274441	12	14
14	443	4	2	0
15	49666	24367839	11	6
16	135	24368732	11	6
17	49666	47	1	3
18	135	60	1	3
19	49441	130	1	2
20	443	8356382	62	92
21	443	219614	8	7
22	443	401498	7	7
23	443	76	3	0
24	44459	28460	14	9
25	13792	29	1	1
26	21	282747	18	25
27	13791	54	1	3
28	22	5752032	37	46
29	22	142	1	1
30	88	1142	9	6
31	22	1458576	35	40
32	22	171	1	1
33	465	4024651	19	26
34	465	384	3	0
35	88	1111	9	6
36	88	1108	9	6
37	443	216810	8	7
38	443	297216	9	8
39	35215	35831	15	6
40	40372	4	3	0
41	40372	81	1	1
42	21	194415	20	24
43	45392	1	2	0
44	21	3	2	0
45	22	2941634	47	46
46	22	151	1	1
47	22	281683	35	34
48	22	50	1	1
49	443	235912	13	15
50	443	3	2	0
51	443	234211	9	7
52	465	3785483	20	24
53	465	4	2	0
54	80	15113	1	1
55	443	23293	1	2
56	80	23174	1	1
57	443	32748	1	2
58	443	312696	12	14
59	443	362	3	0
60	443	91200947	92	79
61	49461	91415172	78	92
62	443	459696	9	9
63	443	3803148	40	58
64	443	63762	1	1
65	443	156635	9	7
66	42064	3140	2	1
67	88	592	7	4
68	88	791	9	4
69	88	1010	7	4
70	88	572	7	4
71	49483	20	1	1
72	88	774	9	4
73	88	985	9	6
74	389	391938	15	12
75	49489	16	1	1
76	389	401719	15	12
77	443	4866509	37	55
78	443	317120	9	8
79	80	2330196	5	3
80	80	2330574	194	260
81	80	2348136	1105	1647
82	80	46563	4	5
83	80	4	2	0
84	80	46696	5	7
85	80	52	2	0
86	443	8424233	26	29
87	443	607723	22	22
88	135	10591250	11	6
89	135	50	1	3
90	443	230843	12	15
91	443	3	2	0
92	80	5893099	3	1
93	443	6023602	9	6
94	13810	3	2	0
95	5353	56005079	44	0
96	443	61177267	14	13
97	123	56087185	2	2
98	123	58021487	2	2
